amount,"['financepy.finutils.FinAmount', 'financepy.finutils.FinAmount.amount', 'financepy.finutils.FinMath.maximum']"
percentage,"['financepy.finutils.FinAmount', 'financepy.finutils.FinAmount.amount']"
portion,"['financepy.finutils.FinAmount', 'financepy.finutils.FinAmount.amount']"
total,"['financepy.finutils.FinAmount', 'financepy.finutils.FinAmount.amount', 'financepy.market.volatility.FinEquityVolCurve']"
pay,"['financepy.finutils.FinAmount', 'financepy.finutils.FinAmount.amount', 'financepy.finutils.FinHelperFunctions.accruedTree', 'financepy.finutils.FinMath.accruedInterpolator']"
calender,['financepy.finutils.FinCalender']
adjust,['financepy.finutils.FinCalender.adjust']
accordingly,['financepy.finutils.FinCalender.adjust']
continually,['financepy.finutils.FinCalender.adjust']
periodically,['financepy.finutils.FinCalender.adjust']
reflect,['financepy.finutils.FinCalender.adjust']
business,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinCalender.isBusinessDay']"
company,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinCalender.isBusinessDay']"
part,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinCalender.isBusinessDay']"
many,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinCalender.isBusinessDay']"
also,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinCalender.isBusinessDay', 'financepy.finutils.FinDate.setDateFormatType', 'financepy.finutils.FinDate.testType', 'financepy.finutils.FinHelperFunctions.toUsableType', 'financepy.finutils.FinHelperFunctions.uniformToDefaultType']"
well,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinCalender.isBusinessDay']"
days,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinDate.addDays', 'financepy.finutils.FinDate.addWeekDays', 'financepy.finutils.FinDate.daysInMonth']"
add,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinDate.addDays', 'financepy.finutils.FinDate.addWeekDays', 'financepy.finutils.FinDate.addMonths', 'financepy.finutils.FinDate.addYears', 'financepy.finutils.FinDate.addTenor']"
additional,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinDate.addDays', 'financepy.finutils.FinDate.addWeekDays', 'financepy.finutils.FinDate.addMonths', 'financepy.finutils.FinDate.addYears', 'financepy.finutils.FinDate.addTenor']"
extra,"['financepy.finutils.FinCalender.addBusinessDays', 'financepy.finutils.FinDate.addDays', 'financepy.finutils.FinDate.addWeekDays', 'financepy.finutils.FinDate.addMonths', 'financepy.finutils.FinDate.addYears', 'financepy.finutils.FinDate.addTenor']"
